Request ID,Date,Lumen URL,Copyright owner ID,Copyright owner name,Reporting organization ID,Reporting organization name,URLs removed,URLs for which we took no action,URLs pending review,From Abuser
3780125,2016-08-14T19:31:24Z,https://lumendatabase.org/notices/12862371,76274,NUCLEAR BLAST RECORDS,11836,AudioLock.NET,21,1,0,false
1723560,2014-12-10T05:32:01Z,http://www.chillingeffects.org/notices/10238875,26935,Blue Blood,224,Blue Blood,367,19,0,false
3812870,2016-08-25T10:25:03Z,https://lumendatabase.org/notices/12920511,170716,IT Governance Publishing,199,MarkMonitor AntiPiracy,11,0,0,false
1151055,2014-04-24T02:47:57Z,http://www.chillingeffects.org/notice.cgi?sID=1655667,58476,Electrocity,11836,AudioLock.NET,3,0,0,false
1682597,2014-11-25T19:01:03Z,http://www.chillingeffects.org/notices/10196725,70158,MG Premium Ltd,787,Degban,17199,391,0,false
174557,2012-05-27T22:51:50Z,http://www.chillingeffects.org/notice.cgi?sID=367427,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,0,0,false
1961339,2015-02-28T13:30:35Z,http://www.chillingeffects.org/notices/10506685,24280,VivThomas.com-Video Lda.,787,Degban,764,0,0,false
1731220,2014-12-12T13:02:57Z,http://www.chillingeffects.org/notices/10244854,65714,Penguin US,28460,Digimarc,1,12,0,false
1010807,2014-02-09T09:43:42Z,http://www.chillingeffects.org/notice.cgi?sID=1481781,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,584,59,0,false
2715385,2015-10-19T13:50:57Z,http://www.chillingeffects.org/notices/11332421,51454,Virtual Label LLC,7801,MUSO.com Anti-piracy,522,5,0,false
2298048,2015-06-17T13:08:13Z,http://www.chillingeffects.org/notices/10872274,29344,OWSLA,11836,AudioLock.NET,11,0,0,false
2392731,2015-07-17T16:35:44Z,http://www.chillingeffects.org/notices/10977024,68340,Comade Music,40594,Total Wipes Music Group,5,1,0,false
841796,2013-10-27T16:15:32Z,http://www.chillingeffects.org/notice.cgi?sID=1266893,41302,Hyperdub,11836,AudioLock.NET,60,0,0,false
1928484,2015-02-19T13:40:16Z,http://www.chillingeffects.org/notices/10471235,26320,Cr2 Records Ltd,11836,AudioLock.NET,60,4,0,false
1021375,2014-02-15T08:29:58Z,http://www.chillingeffects.org/notice.cgi?sID=1495450,26705,"RIAA member companies (EMI Music North America, Sony Music Entertainment, Universal Music Group, Warner Music Group and their associated record labels)",1594,"Recording Industry Association of America, Inc.",1177,9,0,false
1246859,2014-06-14T12:52:04Z,http://www.chillingeffects.org/notice.cgi?sID=1776237,34873,Entertainment One,7801,MUSO.com Anti-piracy,36,0,0,false
3326614,2016-04-10T09:29:52Z,http://lumendatabase.org/notices/12066164,22967,Armada Music,11836,AudioLock.NET,83,3,0,false
3909060,2016-09-27T04:31:07Z,https://lumendatabase.org/notices/13079932,34873,Entertainment One,7801,MUSO.com Anti-piracy,19,4,0,false
1056832,2014-03-06T02:38:26Z,http://www.chillingeffects.org/notice.cgi?sID=1537779,42718,Shueisha,13802,Digimarc,140,0,0,false
2806918,2015-11-16T06:24:54Z,http://lumendatabase.org/notices/11488278,70101,MG Content RK Limited,787,Degban,10944,202,0,false
1000693,2014-02-03T02:56:50Z,http://www.chillingeffects.org/notice.cgi?sID=1468063,33439,Pure Funk Records,11836,AudioLock.NET,1,0,0,false
3591027,2016-06-23T11:40:59Z,https://lumendatabase.org/notices/12509110,26068,"Home Box Office, Inc.",17947,IP-Echelon Pty Ltd,536,6,0,false
1894541,2015-02-10T12:15:37Z,http://www.chillingeffects.org/notices/10434520,56718,Psycollective LLC,11836,AudioLock.NET,3,0,0,false
2062537,2015-04-02T12:38:40Z,http://www.chillingeffects.org/notices/10619971,66358,Thomas Sabo GmbH & Co. KG,43429,Thomas Sabo GmbH & Co. KG,6,0,0,false
3675950,2016-07-16T08:04:58Z,https://lumendatabase.org/notices/12659076,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,2312,28,0,false
189333,2012-06-06T11:46:53Z,http://www.chillingeffects.org/notice.cgi?sID=384108,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,0,0,false
3587039,2016-06-20T09:31:49Z,https://lumendatabase.org/notices/12489226,75632,Sony Music Entertainment Germany GmbH,66523,proMedia,10,0,0,false
2037035,2015-03-24T12:28:38Z,http://www.chillingeffects.org/notices/10591048,77771,Infacted,53464,proMedia,5,0,0,false
3570925,2016-06-15T10:12:00Z,https://lumendatabase.org/notices/12456118,43141,Warner Music Group Germany Holding GmbH,101618,proMedia,20,0,0,false
967619,2014-01-13T21:13:25Z,http://www.chillingeffects.org/notice.cgi?sID=1426066,55838,Deandev,33939,Deandev,0,2,0,false
1016619,2014-02-12T08:29:41Z,http://www.chillingeffects.org/notice.cgi?sID=1488243,36612,Project Sam,9911,Link-Busters.com,103,5,0,false
454189,2012-12-15T17:50:26Z,http://www.chillingeffects.org/notice.cgi?sID=719638,22627,Drumpoet Community,11836,AudioLock.NET,94,182,0,false
2885970,2015-12-07T18:07:11Z,http://lumendatabase.org/notices/11573533,158273,"American Ultra, LLC",36488,Marketly llc,10,0,0,false
1129338,2014-04-11T13:37:58Z,http://www.chillingeffects.org/notice.cgi?sID=1626341,49411,Suara,17708,Topple Track,13,0,0,false
1043212,2014-02-27T04:10:02Z,http://www.chillingeffects.org/notice.cgi?sID=1520844,27846,Pyro Records,17708,Topple Track,31,1,0,false
1139859,2014-04-17T23:46:16Z,http://www.chillingeffects.org/notice.cgi?sID=1642116,60875,On-U Sound Records & Music Ltd.,11836,AudioLock.NET,1,0,0,false
1888249,2015-02-09T00:47:13Z,http://www.chillingeffects.org/notices/10427758,38536,Freaky Empire,1620,Takedown Piracy LLC,212,1,0,false
330033,2012-09-16T22:39:19Z,http://www.chillingeffects.org/notice.cgi?sID=563561,28386,James Travers,576,,1,0,0,false
3913306,2016-09-28T12:46:14Z,https://lumendatabase.org/notices/13088115,35175,"Pearson Education, Inc.",199,MarkMonitor AntiPiracy,59,1,0,false
724904,2013-08-16T19:08:24Z,http://www.chillingeffects.org/notice.cgi?sID=1121401,39684,Hysteria,11836,AudioLock.NET,9,0,0,false
3231973,2016-03-14T20:03:22Z,http://lumendatabase.org/notices/11954946,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,993,0,0,false
3761916,2016-08-11T13:26:37Z,https://lumendatabase.org/notices/12845794,83204,Cash Motto Limited,11836,AudioLock.NET,12,0,0,false
1798661,2015-01-08T13:50:47Z,http://www.chillingeffects.org/notices/10330275,75155,"Justin Alexander Bridal, Inc., LLC",51287,"Justin Alexander Bridal, Inc., LLC",6,11,0,false
3764604,2016-08-11T13:23:52Z,https://lumendatabase.org/notices/12845215,158446,EMPIRE,7801,MUSO.com Anti-piracy,689,12,0,false
3788316,2016-08-18T15:43:00Z,https://lumendatabase.org/notices/12884083,177414,Herb Alpert Presents,11836,AudioLock.NET,1,0,0,false
1615100,2014-10-31T11:44:43Z,http://www.chillingeffects.org/notices/10075333,71605,Luigi Masi under exclusive license to W8,11836,AudioLock.NET,1,0,0,false
2050010,2015-03-29T17:51:11Z,http://www.chillingeffects.org/notices/10606606,45184,Get Twisted Records,11836,AudioLock.NET,51,0,0,false
1009035,2014-02-07T18:03:26Z,http://www.chillingeffects.org/notice.cgi?sID=1478743,26940,Ministry of Sound,11836,AudioLock.NET,63,4,0,false
3176414,2016-02-28T03:30:09Z,http://lumendatabase.org/notices/11893786,34219,Xtra Mile,121752,proMedia,10,0,0,false
1382900,2014-08-14T06:03:45Z,http://www.chillingeffects.org/notice.cgi?sID=1945481,22356,Esen Elektronik San.,436,Esen Elektronik San.,84,69,0,false
3922069,2016-09-30T17:44:04Z,https://lumendatabase.org/notices/13103582,79257,"Terry Costa, Inc.",51966,Counterfeit.Technology,3,0,7,false
1805149,2015-01-12T23:11:14Z,http://www.chillingeffects.org/notices/10340114,69094,"Allure Bridals, Inc",45928,"Allure Bridals, Inc",0,10,0,false
1181544,2014-05-08T10:22:03Z,http://www.chillingeffects.org/notice.cgi?sID=1689957,25265,Froytal Services Ltd,787,Degban,5,0,0,false
1846972,2015-01-28T23:42:29Z,http://www.chillingeffects.org/notices/10383348,31072,Kensington Publishing,28460,Digimarc,13,0,0,false
2627361,2015-09-24T07:09:26Z,http://www.chillingeffects.org/notices/11236066,35287,"EENT, Inc",244,Removeyourcontent LLC,51,2,0,false
3463369,2016-05-17T11:25:39Z,http://lumendatabase.org/notices/12267884,67426,Armada Trice,11836,AudioLock.NET,22,2,0,false
2408097,2015-07-22T10:25:21Z,http://www.chillingeffects.org/notices/10992661,23041,AVA Recordings,11836,AudioLock.NET,91,0,0,false
665893,2013-07-08T14:50:27Z,http://www.chillingeffects.org/notice.cgi?sID=1047268,23469,Stereo Flava Records,11836,AudioLock.NET,15,0,0,false
3693643,2016-07-21T13:31:54Z,https://lumendatabase.org/notices/12686348,173128,Stephen O'Malley Music,7801,MUSO.com Anti-piracy,4,0,0,false
417605,2012-11-02T18:45:49Z,http://www.chillingeffects.org/notice.cgi?sID=665595,33916,UNIVERSAL MUSIC LTD,1847,BPI (British Recorded Music Industry) Ltd,2,42,0,false
172631,2012-05-25T20:37:11Z,http://www.chillingeffects.org/notice.cgi?sID=364539,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,2,0,0,false
3426620,2016-05-07T14:51:14Z,http://lumendatabase.org/notices/12202234,25370,Anjunadeep,11836,AudioLock.NET,45,0,0,false
3743314,2016-08-05T12:33:46Z,https://lumendatabase.org/notices/12810116,36409,BREIN Participant,11759,Stichting BREIN,343,11,0,false
2732050,2015-10-24T00:47:40Z,http://www.chillingeffects.org/notices/11350118,70158,MG Premium Ltd,787,Degban,14829,1,0,false
3855360,2016-09-08T10:57:57Z,https://lumendatabase.org/notices/12983945,153060,APDIF do Brasil Member Companies,18634,APDIF do Brasil,7424,0,0,false
3527407,2016-06-04T22:10:31Z,https://lumendatabase.org/notices/12387832,26083,Ultra Records,11836,AudioLock.NET,57,0,0,false
971217,2014-01-16T09:14:59Z,http://www.chillingeffects.org/notice.cgi?sID=1431247,46862,Ministry Of Sound Australia Pty Ltd,11836,AudioLock.NET,1,0,0,false
1360179,2014-08-05T19:33:07Z,http://www.chillingeffects.org/notice.cgi?sID=1918297,56054,"Disney Enterprises, Inc.",7667,Walt Disney Company,25,0,0,false
2183820,2015-05-07T15:22:49Z,http://www.chillingeffects.org/notices/10746377,39663,Ram Records,11836,AudioLock.NET,42,0,0,false
434098,2012-11-18T15:21:08Z,http://www.chillingeffects.org/notice.cgi?sID=686645,26705,"RIAA member companies (EMI Music North America, Sony Music Entertainment, Universal Music Group, Warner Music Group and their associated record labels)",1594,"Recording Industry Association of America, Inc.",2954,2,0,false
2779492,2015-11-08T23:16:23Z,http://lumendatabase.org/notices/11461396,25370,Anjunadeep,11836,AudioLock.NET,31,0,0,false
3287148,2016-03-30T21:26:18Z,http://lumendatabase.org/notices/12014526,65545,Mon Cheri LLC,51966,Counterfeit.Technology,10,0,0,false
324185,2012-09-13T07:59:49Z,http://www.chillingeffects.org/notice.cgi?sID=557446,25265,Froytal Services Ltd,787,Degban,203,4,0,false
2907202,2015-12-13T15:43:56Z,http://lumendatabase.org/notices/11598045,25372,Mute,11836,AudioLock.NET,17,0,0,false
527431,2013-03-07T15:10:14Z,http://www.chillingeffects.org/notice.cgi?sID=835142,22225,Fox,10070,Fox Group Legal,5714,4286,0,false
2854497,2015-11-29T15:23:03Z,http://lumendatabase.org/notices/11540725,48346,Sony Pictures Television Inc.,13597,Entura International LTD,19,2,0,false
2701750,2015-10-15T12:51:14Z,http://www.chillingeffects.org/notices/11317711,58108,Fortissimo Films,7801,MUSO.com Anti-piracy,11,0,0,false
3268282,2016-03-25T09:05:18Z,http://lumendatabase.org/notices/11993319,25964,SCPP,42234,rivendell,8564,1101,0,false
2956609,2015-12-28T01:17:37Z,http://lumendatabase.org/notices/11652136,64636,Fedele Publishing,7801,MUSO.com Anti-piracy,10,0,0,false
2018982,2015-03-19T04:15:04Z,http://www.chillingeffects.org/notices/10572532,69094,"Allure Bridals, Inc",51966,Counterfeit.Technology,10,0,0,false
3220380,2016-03-10T14:29:50Z,http://lumendatabase.org/notices/11940331,70266,Marti Pellow Records,11836,AudioLock.NET,1,0,0,false
36098,2012-04-15T09:36:39Z,http://www.chillingeffects.org/notice.cgi?sID=286628,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,0,0,false
2529725,2015-08-26T14:33:41Z,http://www.chillingeffects.org/notices/11127986,25370,Anjunadeep,11836,AudioLock.NET,39,0,0,false
1613048,2014-10-31T19:34:48Z,http://www.chillingeffects.org/notices/10076379,52606,Nightmare records,11836,AudioLock.NET,4,0,0,false
1334869,2014-07-25T22:44:07Z,http://www.chillingeffects.org/notice.cgi?sID=1886183,23432,UTV Software Communications Ltd.,7667,Walt Disney Company,646,4,0,false
2730510,2015-10-24T08:09:49Z,http://www.chillingeffects.org/notices/11351311,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,3730,0,0,false
2444973,2015-08-03T11:43:23Z,http://www.chillingeffects.org/notices/11035048,65378,The MIT Press,9911,Link-Busters.com,145,9,0,false
3830174,2016-08-30T20:45:07Z,https://lumendatabase.org/notices/12945192,59128,UltraViolet Music,11836,AudioLock.NET,28,0,0,false
2041168,2015-03-25T22:33:20Z,http://www.chillingeffects.org/notices/10595253,56054,"Disney Enterprises, Inc.",7667,Walt Disney Company,997,0,0,false
1076805,2014-03-16T17:35:24Z,http://www.chillingeffects.org/notice.cgi?sID=1562535,37801,Guesthouse Music,11836,AudioLock.NET,3,0,0,false
1214897,2014-05-27T23:37:15Z,http://www.chillingeffects.org/notice.cgi?sID=1734790,62552,Blueprint Media B.V.,9911,Link-Busters.com,27,0,0,false
3613429,2016-06-27T14:41:11Z,https://lumendatabase.org/notices/12536844,86313,APDIF Mexico Member Companies,21937,APDIF - Mexico,139,1,0,false
2360479,2015-07-08T09:08:22Z,http://www.chillingeffects.org/notices/10943911,53912,TBA AG  Phonag Records AG,9911,Link-Busters.com,21,22,0,false
3858061,2016-09-10T00:10:38Z,https://lumendatabase.org/notices/12991550,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,1995,6,1,false
2435916,2015-08-01T04:39:21Z,http://www.chillingeffects.org/notices/11027134,86256,Terri Anne Browning Author,7801,MUSO.com Anti-piracy,1,12,0,false
251064,2012-07-15T18:35:54Z,http://www.chillingeffects.org/notice.cgi?sID=458982,24114,DDF Productions Ltd.,787,Degban Ltd,9,0,0,false
76613,2011-11-22T23:56:44Z,http://www.chillingeffects.org/notice.cgi?sID=153306,33916,Universal Music Ltd,1847,BPI (British Recorded Music Industry) Ltd,71,29,0,false
1757201,2014-12-21T23:52:51Z,http://www.chillingeffects.org/notices/10273103,50738,Global Productions GmbH,9911,Link-Busters.com,468,1161,0,false
2350935,2015-07-04T13:35:05Z,http://www.chillingeffects.org/notices/10932089,76521,Canary Dwarf,11836,AudioLock.NET,62,4,0,false
594858,2013-05-13T12:37:27Z,http://www.chillingeffects.org/notice.cgi?sID=947387,29525,Future Sound of Egypt,11836,AudioLock.NET,13,0,0,false
287502,2012-08-14T17:42:26Z,http://www.chillingeffects.org/notice.cgi?sID=510110,32047,Intellectual Property Promotion Association,787,Degban Ltd,1,0,0,false
1684450,2014-11-26T13:08:03Z,http://www.chillingeffects.org/notices/10198469,72775,Monnom Black,7801,MUSO.com Anti-piracy,1,0,0,false
2409038,2015-07-23T07:23:52Z,http://www.chillingeffects.org/notices/10995654,59387,SPPF,42234,rivendell,43,0,0,false
1420818,2014-08-27T08:36:18Z,http://www.chillingeffects.org/notice.cgi?sID=1989531,24217,Sample Magic,4300,RipBlock Anti Piracy,8,3,0,false
2864417,2015-12-02T13:40:57Z,http://lumendatabase.org/notices/11552661,23371,Worldbeats Ltd,7801,MUSO.com Anti-piracy,29,1,0,false
775453,2013-09-13T18:54:14Z,http://www.chillingeffects.org/notice.cgi?sID=1179562,37199,XFC Inc.,787,Degban Ltd,149,0,0,false
2918107,2015-12-16T12:04:21Z,http://lumendatabase.org/notices/11610392,153376,"Emma Da Vinci Bridal, Inc.",51966,Counterfeit.Technology,84,0,0,false
283869,2012-08-12T03:28:04Z,http://www.chillingeffects.org/notice.cgi?sID=507125,41897,Tom Byron Pictures,1620,Takedown Piracy LLC,467,85,0,false
2061542,2015-04-01T19:50:52Z,http://www.chillingeffects.org/notices/10617914,64075,Quentin Volant,41376,,7,0,0,false
2428874,2015-07-29T16:02:49Z,http://www.chillingeffects.org/notices/11017964,82372,Tourean,11836,AudioLock.NET,5,0,0,false
2443337,2015-08-03T00:02:28Z,http://www.chillingeffects.org/notices/11033077,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,1277,86,0,false
457292,2012-12-20T06:21:07Z,http://www.chillingeffects.org/notice.cgi?sID=726509,35920,Mag Pictures,787,Degban Ltd,159,0,0,false
421111,2012-11-05T20:34:45Z,http://www.chillingeffects.org/notice.cgi?sID=670380,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,66,40,0,false
2910660,2015-12-14T17:48:42Z,http://lumendatabase.org/notices/11601852,49947,Be Yourself Music BV,9911,Link-Busters.com,7,4,0,false
3165876,2016-02-24T13:31:02Z,http://lumendatabase.org/notices/11878113,74828,Blackstone Audio and Blackstone Audiobooks,8237,DMCA Force,61,0,0,false
3469508,2016-05-20T08:47:26Z,https://lumendatabase.org/notices/12290888,36925,Armind,11836,AudioLock.NET,52,0,0,false
2345444,2015-07-02T15:17:10Z,http://www.chillingeffects.org/notices/10926693,66295,LennarDigital,9911,Link-Busters.com,9,0,0,false
2139040,2015-04-25T00:30:11Z,http://www.chillingeffects.org/notices/10701318,32539,Video X Pix,1620,Takedown Piracy LLC,2423,79,0,false
1114777,2014-04-04T18:21:33Z,http://www.chillingeffects.org/notice.cgi?sID=1609885,33839,Touchstone Recordings,11836,AudioLock.NET,4,0,0,false
3507103,2016-05-29T09:09:02Z,https://lumendatabase.org/notices/12351139,31298,Captivating Sounds,11836,AudioLock.NET,41,0,0,false
3053846,2016-01-26T08:05:26Z,http://lumendatabase.org/notices/11758467,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,123,0,0,false
793002,2013-09-27T21:16:54Z,http://www.chillingeffects.org/notice.cgi?sID=1206531,37080,"DMM.com Labo, Ltd.",12322,"Unidam, Inc.",786,8,0,false
2194450,2015-05-11T11:06:39Z,http://www.chillingeffects.org/notices/10757840,30363,Rum Bum Records,11836,AudioLock.NET,8,0,0,false
2631545,2015-09-25T01:34:40Z,http://www.chillingeffects.org/notices/11239730,155641,Công ty CP Thương mại & Xuất nhập khẩu Hưng Thắng,125974,Công ty CP Thương mại & Xuất nhập khẩu Hưng Thắng,1,0,0,false
1888492,2015-02-08T14:06:47Z,http://www.chillingeffects.org/notices/10426416,57188,ApartmentSixtyThree,11836,AudioLock.NET,3,0,0,false
1216184,2014-05-28T10:54:34Z,http://www.chillingeffects.org/notice.cgi?sID=1735794,59387,SPPF,11086,LeakID,507,35,0,false
1404104,2014-08-21T03:14:15Z,http://www.chillingeffects.org/notice.cgi?sID=1967918,36124,Colbette Holdings Limited,787,Degban Ltd,4,0,0,false
2425306,2015-07-29T00:54:52Z,http://www.chillingeffects.org/notices/11015235,152109,Nasty Cat,17708,Topple Track,1,0,0,false
1959250,2015-02-28T08:51:44Z,http://www.chillingeffects.org/notices/10505538,53633,Hypercolour,11836,AudioLock.NET,184,0,0,false
152703,2011-11-28T22:32:46Z,http://www.chillingeffects.org/notice.cgi?sID=156223,31906,"Intersec Interactive, Inc.",23503,Armovore,142,2,0,true
2634316,2015-09-25T18:04:04Z,http://www.chillingeffects.org/notices/11242269,84455,Associação Antipirataria Cinema e Musica Member Companies,18634,APDIF do Brasil,55,858,0,false
1538656,2014-10-05T09:07:51Z,http://www.chillingeffects.org/notice.cgi?sID=2121036,67078,Spinnin' Remixes,11836,AudioLock.NET,12,0,0,false
3029993,2016-01-18T15:02:33Z,http://lumendatabase.org/notices/11729593,34071,IFPI,41194,IFPI,4,3,0,false
795339,2013-09-30T13:19:19Z,http://www.chillingeffects.org/notice.cgi?sID=1210842,48853,Mister Smith Entertainment,7801,MUSO.com Anti-piracy,107,0,0,false
1851651,2015-01-30T12:12:50Z,http://www.chillingeffects.org/notices/10389685,45768,Cadence Recordings,11836,AudioLock.NET,54,0,0,false
3118497,2016-02-11T10:00:04Z,http://lumendatabase.org/notices/11825275,39663,Ram Records,11836,AudioLock.NET,13,0,0,false
1824153,2015-01-19T10:42:51Z,http://www.chillingeffects.org/notices/10356857,43603,APDIF - Mexico,21937,APCM Mexico,0,284,0,false
3899004,2016-09-23T14:41:57Z,https://lumendatabase.org/notices/13063495,82418,House Anxiety / Marathon Artists,11836,AudioLock.NET,1,0,0,false
2106486,2015-04-14T10:37:02Z,http://www.chillingeffects.org/notices/10661568,33916,Universal Music Ltd,13056,CAPIF,261,110,0,false
1281068,2014-07-02T12:56:48Z,http://www.chillingeffects.org/notice.cgi?sID=1820054,64477,Stowarzyszenie Filmowców Polskich,24937,Anti-Piracy Protection,1,0,0,false
3740458,2016-08-04T12:05:30Z,https://lumendatabase.org/notices/12802856,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,2162,0,0,false
1898238,2015-02-13T01:42:33Z,http://www.chillingeffects.org/notices/10445325,38291,Self Employed,7801,MUSO.com Anti-piracy,19,32,0,false
2663611,2015-10-05T08:33:02Z,http://www.chillingeffects.org/notices/11277959,46061,Lowbit,11836,AudioLock.NET,2,0,0,false
2944567,2015-12-23T20:40:59Z,http://lumendatabase.org/notices/11638587,158968,Paradis FIlms,29630,CoPeerRight Agency,10,0,0,false
1979425,2015-03-05T14:40:12Z,http://www.chillingeffects.org/notices/10526647,73592,Universal Music GmbH,52460,proMedia,19,2,0,false
1301026,2014-07-11T06:20:27Z,http://www.chillingeffects.org/notice.cgi?sID=1844451,65649,山本竜児,42785,,7,1,0,false
2851068,2015-11-28T20:10:18Z,http://lumendatabase.org/notices/11538308,65545,Mon Cheri LLC,51966,Counterfeit.Technology,13,0,0,false
1835993,2015-01-24T10:52:10Z,http://www.chillingeffects.org/notices/10369614,68347,Banging Grooves,40594,Total Wipes Music Group,1,0,0,false
3050917,2016-01-25T14:34:16Z,http://lumendatabase.org/notices/11756289,84371,"Alyce Designs, Inc.",51966,Counterfeit.Technology,10,0,0,false
1519034,2014-09-29T07:55:04Z,http://www.chillingeffects.org/notice.cgi?sID=2100559,48696,Gruuv,11836,AudioLock.NET,5,0,0,false
137053,2012-03-08T19:10:23Z,http://www.chillingeffects.org/notice.cgi?sID=237041,40786,Orrange / B&C Sales,787,Degban Ltd,5,0,0,false
3069981,2016-01-29T20:40:59Z,http://lumendatabase.org/notices/11774875,75199,Topshelf Records,121710,proMedia,7,0,0,false
3159980,2016-02-23T13:04:53Z,http://lumendatabase.org/notices/11874417,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,1923,8,0,false
2767662,2015-11-04T07:50:32Z,http://lumendatabase.org/notices/11438224,78025,"La Femme Boutique, Inc.",51966,Counterfeit.Technology,124,1,0,false
3614676,2016-06-28T08:59:31Z,https://lumendatabase.org/notices/12542981,83892,SOURCE,11836,AudioLock.NET,39,0,0,false
2201547,2015-05-14T06:32:08Z,http://www.chillingeffects.org/notices/10767722,77228,Leap Media,53199,leap media,1,0,0,false
2978501,2016-01-04T17:47:08Z,http://lumendatabase.org/notices/11678870,51800,Medschool,11836,AudioLock.NET,27,0,0,false
2532615,2015-09-06T17:41:21Z,http://www.chillingeffects.org/notices/11171434,33335,Spinnin' Records,11836,AudioLock.NET,31,0,0,false
332731,2012-09-18T08:46:36Z,http://www.chillingeffects.org/notice.cgi?sID=566312,30342,"CA Co., Ltd.",787,Degban Ltd,1,0,0,false
1853131,2015-01-30T18:38:35Z,http://www.chillingeffects.org/notices/10391012,53269,Protocol Recordings BV,9911,Link-Busters.com,102,168,0,false
3381636,2016-04-25T22:57:13Z,http://lumendatabase.org/notices/12144866,170037,MST Entertainment Inc.,10990,"Piracy Stops Here, LLC",7105,21,0,false
1414808,2014-08-25T00:43:59Z,http://www.chillingeffects.org/notice.cgi?sID=1980207,32676,Viacom Media Networks,12924,Vobile Inc,65,55,0,false
1018804,2014-02-12T15:38:54Z,http://www.chillingeffects.org/notice.cgi?sID=1489193,57478,JEVUSKA,35376,JEVUSKA,0,1,0,false
3239947,2016-03-16T11:40:31Z,http://lumendatabase.org/notices/11962238,48890,Armada Music Bundles,11836,AudioLock.NET,56,0,0,false
875203,2013-11-16T23:21:23Z,http://www.chillingeffects.org/notice.cgi?sID=1308900,24078,Nocturnal Groove,11836,AudioLock.NET,3,0,0,false
1981584,2015-03-05T12:30:01Z,http://www.chillingeffects.org/notices/10526039,75752,Edel,53464,proMedia,2,0,0,false
1817499,2015-01-18T04:16:18Z,http://www.chillingeffects.org/notices/10353658,76064,裕美川田,52137,,1,0,0,false
665111,2013-07-08T05:23:22Z,http://www.chillingeffects.org/notice.cgi?sID=1046351,23785,Clymer Publications,13802,Attributor,3,0,0,false
2038757,2015-03-24T19:29:01Z,http://www.chillingeffects.org/notices/10591984,22611,"Dreamroom Productions, Inc.",8237,DMCA Force,7960,634,0,false
1589271,2014-10-22T16:47:53Z,http://www.chillingeffects.org/notices/10049520,60684,Condor Entertainment,48042,CoPeerRight Agency,7,0,0,false
3044685,2016-01-23T20:06:05Z,http://lumendatabase.org/notices/11748900,39071,BPI LTD MEMBER COMPANIES,1847,BPI (British Recorded Music Industry) Ltd,1085,0,0,false
765333,2013-09-13T01:03:37Z,http://www.chillingeffects.org/notice.cgi?sID=1177972,29149,Editis,26304,Attributor Corporation,4,0,0,false
2072650,2015-04-05T10:01:39Z,http://www.chillingeffects.org/notices/10628375,34767,Size Records,11836,AudioLock.NET,21,0,0,false
2922185,2015-12-18T08:18:33Z,http://lumendatabase.org/notices/11616467,58549,AMC Film Holdings,199,MarkMonitor AntiPiracy,4935,1490,0,false
1732530,2014-12-14T09:35:36Z,http://www.chillingeffects.org/notices/10250308,25370,Anjunadeep,11836,AudioLock.NET,96,0,0,false
2913427,2015-12-15T15:14:28Z,http://lumendatabase.org/notices/11606069,82027,Jordan Fashions Corp.,51966,Counterfeit.Technology,86,0,0,false
1378016,2014-08-12T06:53:15Z,http://www.chillingeffects.org/notice.cgi?sID=1937920,35287,"EENT, Inc",244,Removeyourcontent LLC,120,14,0,false
2058282,2015-04-01T15:29:02Z,http://www.chillingeffects.org/notices/10617547,24193,Black Hole Recordings,11836,AudioLock.NET,21,0,0,false
256602,2012-07-18T17:32:15Z,http://www.chillingeffects.org/notice.cgi?sID=465526,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,1,0,0,false
3143852,2016-02-18T15:02:53Z,http://lumendatabase.org/notices/11855612,27654,A State of Trance,11836,AudioLock.NET,17,0,0,false
2471844,2015-08-11T08:45:56Z,http://www.chillingeffects.org/notices/11064363,73527,Metropolis Music,11836,AudioLock.NET,2,0,0,false
499897,2013-02-07T09:24:13Z,http://www.chillingeffects.org/notice.cgi?sID=794177,27594,Cooking Vinyl Ltd,11836,AudioLock.NET,1,0,0,false
2923734,2015-12-18T22:26:28Z,http://lumendatabase.org/notices/11619938,72718,Armada Music Label,11836,AudioLock.NET,44,0,0,false
