Request ID,Date,Lumen URL,Copyright owner ID,Copyright owner name,Reporting organization ID,Reporting organization name,URLs removed,URLs for which we took no action,URLs pending review,From Abuser
3161244,2016-02-23T09:25:35Z,http://lumendatabase.org/notices/11873509,76958,PJS international SA,34398,Perani Pozzi Associati - Studio Legale,1,0,0,false
2386754,2015-07-15T17:02:05Z,http://www.chillingeffects.org/notices/10970081,83896,클로버이앤아이,121791,케이아이에스미디어,7,3,0,false
2128358,2015-04-22T09:04:51Z,http://www.chillingeffects.org/notices/10690617,76572,Bushqueen Music,11836,AudioLock.NET,4,0,0,false
1954813,2015-02-26T13:31:23Z,http://www.chillingeffects.org/notices/10499369,26083,Ultra Records,11836,AudioLock.NET,66,0,0,false
111588,2012-04-25T08:27:52Z,http://www.chillingeffects.org/notice.cgi?sID=303489,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,2,0,0,false
2900566,2015-12-11T17:27:58Z,http://lumendatabase.org/notices/11591002,157390,Altra Moda Music,11836,AudioLock.NET,39,0,0,false
84782,2012-04-10T17:21:58Z,http://www.chillingeffects.org/notice.cgi?sID=276511,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,2,0,0,false
1133551,2014-04-15T00:32:10Z,http://www.chillingeffects.org/notice.cgi?sID=1633968,50132,Soul Heaven,11836,AudioLock.NET,6,0,0,false
440803,2012-11-27T14:02:04Z,http://www.chillingeffects.org/notice.cgi?sID=696927,41234,Distribution Select,1940,Police Du Net,3,0,0,false
15060,2012-04-29T10:30:47Z,http://www.chillingeffects.org/notice.cgi?sID=313917,22818,BPI (British Recorded Music Industry) Ltd,1847,BPI (British Recorded Music Industry) Ltd,14,0,0,false
2548025,2015-09-01T12:54:39Z,http://www.chillingeffects.org/notices/11151217,153060,APDIF do Brasil Member Companies,18634,APDIF do Brasil,918,44,0,false
2761127,2015-11-01T15:45:24Z,http://www.chillingeffects.org/notices/11402105,29344,OWSLA,11836,AudioLock.NET,59,0,0,false
